Author,Title,Type,License,Source,Additional Notes
Anna,Public Domain - sprites (boy and girl),Portraits,CC0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=16129,
annako,annako's Backgrounds and Sprites,Portraits,CC BY-SA 3.0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=31476,
ChillTaco,Highschool Pixel Fish Husbandos #FREE,Portraits,CC0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=53263,
Clarissa Helps,Clarissa Helps' 14 Sprite Pack,Portraits,CC BY-SA 4.0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=30896,
CosmicKitty,Free Resources,Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=16581,
darealprice,Free Girl Sprite,Portraits,CC BY 3.0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=32894,
darealprice,Free Chibi Sprite!,Portraits,CC BY-SA 3.0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=32423,
Didules,Sprites [6?5-7?],Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=22996,
doot,FREE HANDSOME SPRITE MAN,Portraits,CC0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=36406,
einari,Free Sprite(s) ! +[ Einari ]+,Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=26589,
EmbraceofDestiny,Free Sprites,Portraits,CC BY 3.0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=41142,
figoree,A female sprite,Portraits,CC BY-SA 3.0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=36813,
Geckos,"Stylized Sprites, Ice Tiles, and a few Backgrounds",Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=24899,
justblue,my free sprites,Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=13019,
Kainico,Anime Style VN Sprites,Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=51594,
Kyuu,Sprite packs - painterly anime,Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=37315,
Lanea Zimmerman,Free sprite w/ requests!,Portraits,CC BY 3.0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=23158,
Luce Jumble,GUI Stuff + 1 Male Sprite,Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=23669,
Niwa,Niwa's Free Sprites and stuff,Portraits,CC0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=49751,
orcus51,Monster sprite,Portraits,CC BY-SA,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=49900,
Remnantation,Free Sprite ~Remnantation~,Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=49821,
Reyire,Five free multi-gendered sprites,Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=24337,
RLinZ,8 Free Female Sprites,Portraits,CC BY-SA 3.0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=51023,
Sapiboong,Sapiboong's free Victorian Girl and guy sprites (and more),Portraits,CC0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=25412,
Scribbles,Free Sprites!,Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=41150,
Shalambay Shift,Girl Sprites from a newbie,Portraits,CC0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=17276,
Shinoki,Free Sprite,Portraits,CC0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=30155,
soraibi,Soraibi's Free Sprites!,Portraits,CC BY 3.0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=27672,
Talann,Old Sprite Girl,Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=22694,
usagiru,Free Sprites! Two Characters! Free for the taking!,Portraits,CC0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=37047,
xLyn,Free Character Sprites,Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=45590,
xLyn,xLyn's Free Character Sprites (Coming Soon...),Portraits,CC BY,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=59438,
z04,sprites,Portraits,CC BY 3.0,https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=33697,
